Combination,Role_Score,Type_Score,Weakness_Score,Threat_Coverage_Score,Total_Stats_Score,Total_Score,Combination_Names
"150, 151, 6, 73, 143, 89",8.75,7.88,5.48,5.94,8.57,6.208684,"mewtwo, mew, charizard, tentacruel, snorlax, muk"
"150, 151, 146, 121, 143, 89",8.75,7.88,5.78,5.35,8.79,6.208313,"mewtwo, mew, moltres, starmie, snorlax, muk"
"151, 131, 113, 121, 149, 89",8.75,8.72,5.65,5.53,8.5,6.208259,"mew, lapras, chansey, starmie, dragonite, muk"
"150, 146, 121, 143, 149, 89",8.75,8.72,4.99,6.53,8.79,6.20725,"mewtwo, moltres, starmie, snorlax, dragonite, muk"
"151, 113, 121, 149, 89, 91",8.75,8.72,5.65,5.53,8.48,6.206907,"mew, chansey, starmie, dragonite, muk, cloyster"
"151, 145, 131, 113, 121, 89",8.75,8.72,5.7,5.44,8.5,6.205549,"mew, zapdos, lapras, chansey, starmie, muk"
"151, 145, 113, 121, 89, 91",8.75,8.72,5.7,5.44,8.48,6.204197,"mew, zapdos, chansey, starmie, muk, cloyster"
"150, 151, 144, 131, 113, 89",8.75,7.88,5.72,5.44,8.78,6.204183,"mewtwo, mew, articuno, lapras, chansey, muk"
"150, 151, 6, 143, 89, 68",8.75,8.36,5.72,5.44,8.57,6.203814,"mewtwo, mew, charizard, snorlax, muk, machamp"
"151, 113, 121, 149, 89, 80",8.75,7.06,5.84,5.53,8.33,6.203014,"mew, chansey, starmie, dragonite, muk, slowbro"
"150, 151, 144, 134, 143, 89",8.75,8.36,6.02,4.85,8.79,6.202887,"mewtwo, mew, articuno, vaporeon, snorlax, muk"
"150, 151, 144, 9, 143, 89",8.75,8.36,6.02,4.85,8.79,6.202887,"mewtwo, mew, articuno, blastoise, snorlax, muk"
"150, 151, 145, 134, 143, 89",8.75,8.36,6.02,4.85,8.79,6.202887,"mewtwo, mew, zapdos, vaporeon, snorlax, muk"
"150, 151, 145, 9, 143, 89",8.75,8.36,6.02,4.85,8.79,6.202887,"mewtwo, mew, zapdos, blastoise, snorlax, muk"
"150, 151, 144, 113, 89, 91",8.75,7.88,5.72,5.44,8.77,6.202831,"mewtwo, mew, articuno, chansey, muk, cloyster"
"150, 151, 103, 62, 149, 89",8.75,8.72,5.57,5.53,8.87,6.201745,"mewtwo, mew, exeggutor, poliwrath, dragonite, muk"
"150, 151, 146, 131, 113, 89",8.75,9.12,5.59,5.44,8.78,6.201254,"mewtwo, mew, moltres, lapras, chansey, muk"
"150, 151, 146, 113, 89, 91",8.75,9.12,5.59,5.44,8.77,6.199902,"mewtwo, mew, moltres, chansey, muk, cloyster"
"151, 144, 113, 121, 89, 80",8.75,7.06,5.89,5.44,8.33,6.199817,"mew, articuno, chansey, starmie, muk, slowbro"
"151, 145, 113, 121, 89, 80",8.75,7.06,5.89,5.44,8.33,6.199817,"mew, zapdos, chansey, starmie, muk, slowbro"
"150, 151, 59, 149, 89, 80",8.75,7.88,5.67,5.44,8.99,6.198129,"mewtwo, mew, arcanine, dragonite, muk, slowbro"
"150, 151, 113, 103, 121, 89",8.75,6,6.21,5.03,8.49,6.197982,"mewtwo, mew, chansey, exeggutor, starmie, muk"
"150, 151, 6, 113, 89, 80",8.75,7.88,5.78,5.44,8.4,6.195352,"mewtwo, mew, charizard, chansey, muk, slowbro"
"150, 151, 6, 143, 62, 89",8.75,9.12,5.62,5.44,8.57,6.194658,"mewtwo, mew, charizard, snorlax, poliwrath, muk"
"151, 6, 113, 121, 143, 89",8.75,7.88,5.76,5.44,8.51,6.192281,"mew, charizard, chansey, starmie, snorlax, muk"
"150, 151, 143, 149, 89, 80",8.75,7.88,5.98,4.94,8.89,6.191803,"mewtwo, mew, snorlax, dragonite, muk, slowbro"
"150, 151, 73, 143, 149, 89",8.75,7.88,5.68,5.44,8.89,6.191078,"mewtwo, mew, tentacruel, snorlax, dragonite, muk"
"150, 151, 146, 131, 121, 89",8.75,7.06,5.48,5.94,8.78,6.190304,"mewtwo, mew, moltres, lapras, starmie, muk"
"150, 151, 144, 103, 62, 89",8.75,8.72,5.61,5.44,8.77,6.189792,"mewtwo, mew, articuno, exeggutor, poliwrath, muk"
"150, 151, 145, 103, 62, 89",8.75,8.72,5.61,5.44,8.77,6.189792,"mewtwo, mew, zapdos, exeggutor, poliwrath, muk"
"150, 144, 113, 121, 143, 89",8.75,7.88,6,5.03,8.51,6.189598,"mewtwo, articuno, chansey, starmie, snorlax, muk"
"150, 145, 113, 121, 143, 89",8.75,7.88,6,5.03,8.51,6.189598,"mewtwo, zapdos, chansey, starmie, snorlax, muk"
"150, 151, 131, 103, 149, 89",8.75,8.72,5.54,5.53,8.88,6.1882,"mewtwo, mew, lapras, exeggutor, dragonite, muk"
"150, 151, 131, 134, 149, 89",8.75,7.25,5.68,5.53,8.88,6.186774,"mewtwo, mew, lapras, vaporeon, dragonite, muk"
"150, 151, 144, 59, 89, 80",8.75,7.88,5.72,5.35,8.9,6.185909,"mewtwo, mew, articuno, arcanine, muk, slowbro"
"150, 151, 145, 59, 89, 80",8.75,7.88,5.72,5.35,8.9,6.185909,"mewtwo, mew, zapdos, arcanine, muk, slowbro"
"150, 151, 143, 149, 89, 68",8.75,8.36,5.91,4.94,8.89,6.18363,"mewtwo, mew, snorlax, dragonite, muk, machamp"
"150, 151, 62, 149, 89, 80",8.75,7.06,5.71,5.53,8.77,6.180688,"mewtwo, mew, poliwrath, dragonite, muk, slowbro"
"150, 151, 131, 6, 143, 89",8.75,9.12,5.59,5.44,8.57,6.180299,"mewtwo, mew, lapras, charizard, snorlax, muk"
"150, 151, 6, 143, 89, 91",8.75,9.12,5.59,5.44,8.57,6.180299,"mewtwo, mew, charizard, snorlax, muk, cloyster"
"150, 151, 131, 6, 113, 89",8.75,9.12,5.59,5.44,8.56,6.179172,"mewtwo, mew, lapras, charizard, chansey, muk"
"150, 151, 144, 73, 143, 89",8.75,7.88,5.72,5.35,8.79,6.178839,"mewtwo, mew, articuno, tentacruel, snorlax, muk"
"150, 151, 145, 73, 143, 89",8.75,7.88,5.72,5.35,8.79,6.178839,"mewtwo, mew, zapdos, tentacruel, snorlax, muk"
"150, 151, 144, 143, 89, 80",8.75,7.88,6.02,4.85,8.79,6.17878,"mewtwo, mew, articuno, snorlax, muk, slowbro"
"150, 151, 145, 143, 89, 80",8.75,7.88,6.02,4.85,8.79,6.17878,"mewtwo, mew, zapdos, snorlax, muk, slowbro"
"150, 151, 6, 113, 89, 91",8.75,9.12,5.59,5.44,8.55,6.17782,"mewtwo, mew, charizard, chansey, muk, cloyster"
"150, 151, 131, 149, 89, 80",8.75,7.06,5.68,5.53,8.88,6.177052,"mewtwo, mew, lapras, dragonite, muk, slowbro"
"150, 151, 113, 121, 89, 76",8.75,7.88,6.01,5.03,8.33,6.17683,"mewtwo, mew, chansey, starmie, muk, golem"
"150, 151, 131, 113, 121, 89",8.75,6,6.16,5.03,8.5,6.176826,"mewtwo, mew, lapras, chansey, starmie, muk"
"150, 151, 145, 131, 103, 89",8.75,8.72,5.58,5.44,8.78,6.176319,"mewtwo, mew, zapdos, lapras, exeggutor, muk"
"150, 151, 143, 62, 149, 89",8.75,9.12,5.82,4.94,8.89,6.175495,"mewtwo, mew, snorlax, poliwrath, dragonite, muk"
"150, 151, 113, 121, 89, 91",8.75,6,6.16,5.03,8.48,6.175474,"mewtwo, mew, chansey, starmie, muk, cloyster"
"150, 151, 145, 131, 134, 89",8.75,7.25,5.73,5.44,8.78,6.174527,"mewtwo, mew, zapdos, lapras, vaporeon, muk"
"151, 113, 121, 149, 89, 76",8.75,10,5.49,5.53,8.33,6.173835,"mew, chansey, starmie, dragonite, muk, golem"
"150, 151, 144, 131, 121, 89",8.75,5.94,5.55,5.94,8.78,6.172044,"mewtwo, mew, articuno, lapras, starmie, muk"
"151, 144, 113, 121, 89, 76",8.75,10,5.54,5.44,8.33,6.17154,"mew, articuno, chansey, starmie, muk, golem"
"151, 145, 113, 121, 89, 76",8.75,10,5.54,5.44,8.33,6.17154,"mew, zapdos, chansey, starmie, muk, golem"
"150, 151, 144, 143, 89, 68",8.75,8.36,5.96,4.85,8.79,6.170777,"mewtwo, mew, articuno, snorlax, muk, machamp"
"150, 151, 145, 143, 89, 68",8.75,8.36,5.96,4.85,8.79,6.170777,"mewtwo, mew, zapdos, snorlax, muk, machamp"
"151, 121, 143, 149, 89, 68",8.75,9.75,5.82,4.94,8.51,6.16889,"mew, starmie, snorlax, dragonite, muk, machamp"
"150, 151, 144, 62, 89, 80",8.75,7.06,5.76,5.44,8.68,6.168368,"mewtwo, mew, articuno, poliwrath, muk, slowbro"
"150, 151, 145, 62, 89, 80",8.75,7.06,5.76,5.44,8.68,6.168368,"mewtwo, mew, zapdos, poliwrath, muk, slowbro"
"150, 151, 131, 6, 121, 89",8.75,7.06,5.48,5.94,8.56,6.168222,"mewtwo, mew, lapras, charizard, starmie, muk"
"151, 144, 121, 143, 89, 68",8.75,9.75,5.87,4.85,8.51,6.165744,"mew, articuno, starmie, snorlax, muk, machamp"
"151, 145, 121, 143, 89, 68",8.75,9.75,5.87,4.85,8.51,6.165744,"mew, zapdos, starmie, snorlax, muk, machamp"
"150, 151, 145, 131, 89, 80",8.75,7.06,5.73,5.44,8.78,6.164805,"mewtwo, mew, zapdos, lapras, muk, slowbro"
"150, 151, 131, 59, 149, 89",8.75,9.12,5.48,5.44,8.99,6.16456,"mewtwo, mew, lapras, arcanine, dragonite, muk"
"150, 151, 59, 149, 89, 91",8.75,9.12,5.48,5.44,8.99,6.16456,"mewtwo, mew, arcanine, dragonite, muk, cloyster"
"150, 151, 144, 143, 62, 89",8.75,9.12,5.87,4.85,8.79,6.162885,"mewtwo, mew, articuno, snorlax, poliwrath, muk"
"150, 151, 145, 143, 62, 89",8.75,9.12,5.87,4.85,8.79,6.162885,"mewtwo, mew, zapdos, snorlax, poliwrath, muk"
"150, 151, 6, 113, 143, 89",8.75,6.21,5.85,5.44,8.57,6.162423,"mewtwo, mew, charizard, chansey, snorlax, muk"
"150, 151, 131, 143, 149, 89",8.75,9.12,5.79,4.94,8.89,6.161442,"mewtwo, mew, lapras, snorlax, dragonite, muk"
"150, 151, 143, 149, 89, 91",8.75,9.12,5.79,4.94,8.89,6.161442,"mewtwo, mew, snorlax, dragonite, muk, cloyster"
"150, 145, 134, 59, 89, 91",8.75,9.12,5.38,5.71,8.64,6.160683,"mewtwo, zapdos, vaporeon, arcanine, muk, cloyster"
"150, 151, 113, 121, 89, 80",8.75,4.12,6.34,5.03,8.33,6.155817,"mewtwo, mew, chansey, starmie, muk, slowbro"
"150, 144, 113, 59, 89, 80",8.75,9.75,5.69,5.12,8.49,6.154523,"mewtwo, articuno, chansey, arcanine, muk, slowbro"
"150, 145, 113, 59, 89, 80",8.75,9.75,5.69,5.12,8.49,6.154523,"mewtwo, zapdos, chansey, arcanine, muk, slowbro"
"150, 151, 145, 131, 59, 89",8.75,9.12,5.53,5.35,8.9,6.152825,"mewtwo, mew, zapdos, lapras, arcanine, muk"
"150, 151, 145, 59, 89, 91",8.75,9.12,5.53,5.35,8.9,6.152825,"mewtwo, mew, zapdos, arcanine, muk, cloyster"
"150, 151, 131, 149, 89, 34",8.75,8.17,5.22,6.03,8.88,6.152328,"mewtwo, mew, lapras, dragonite, muk, nidoking"
"150, 151, 131, 62, 149, 89",8.75,8.17,5.52,5.53,8.88,6.151161,"mewtwo, mew, lapras, poliwrath, dragonite, muk"
"150, 144, 6, 113, 89, 80",8.75,8.72,4.9,6.62,8.4,6.15069,"mewtwo, articuno, charizard, chansey, muk, slowbro"
"150, 145, 6, 113, 89, 80",8.75,8.72,4.9,6.62,8.4,6.15069,"mewtwo, zapdos, charizard, chansey, muk, slowbro"
"150, 151, 62, 149, 89, 91",8.75,8.17,5.52,5.53,8.86,6.14981,"mewtwo, mew, poliwrath, dragonite, muk, cloyster"
"150, 151, 145, 131, 143, 89",8.75,9.12,5.84,4.85,8.79,6.148905,"mewtwo, mew, zapdos, lapras, snorlax, muk"
"150, 151, 145, 143, 89, 91",8.75,9.12,5.84,4.85,8.79,6.148905,"mewtwo, mew, zapdos, snorlax, muk, cloyster"
"150, 151, 131, 73, 149, 89",8.75,7.06,5.31,6.03,8.88,6.141661,"mewtwo, mew, lapras, tentacruel, dragonite, muk"
"150, 151, 145, 131, 89, 34",8.75,8.17,5.27,5.94,8.78,6.141232,"mewtwo, mew, zapdos, lapras, muk, nidoking"
"151, 131, 121, 149, 89, 68",8.75,8.72,5.52,5.53,8.5,6.141084,"mew, lapras, starmie, dragonite, muk, machamp"
"150, 151, 113, 143, 149, 89",8.75,6.21,6.04,4.94,8.89,6.140809,"mewtwo, mew, chansey, snorlax, dragonite, muk"
"150, 151, 62, 149, 89, 76",8.75,9.83,5.35,5.53,8.77,6.140652,"mewtwo, mew, poliwrath, dragonite, muk, golem"
"151, 113, 121, 143, 149, 89",8.75,7.88,5.95,4.94,8.51,6.140143,"mew, chansey, starmie, snorlax, dragonite, muk"
"151, 6, 9, 121, 143, 89",8.75,7.88,5.64,5.44,8.55,6.140069,"mew, charizard, blastoise, starmie, snorlax, muk"
"150, 151, 145, 131, 62, 89",8.75,8.17,5.57,5.44,8.78,6.139328,"mewtwo, mew, zapdos, lapras, poliwrath, muk"
"151, 145, 131, 121, 89, 68",8.75,8.72,5.57,5.44,8.5,6.138714,"mew, zapdos, lapras, starmie, muk, machamp"
"150, 144, 103, 121, 59, 89",8.75,8.72,5.43,5.62,8.65,6.138566,"mewtwo, articuno, exeggutor, starmie, arcanine, muk"
"150, 145, 103, 121, 59, 89",8.75,8.72,5.43,5.62,8.65,6.138566,"mewtwo, zapdos, exeggutor, starmie, arcanine, muk"
"150, 151, 145, 62, 89, 91",8.75,8.17,5.57,5.44,8.77,6.137976,"mewtwo, mew, zapdos, poliwrath, muk, cloyster"
"150, 151, 144, 131, 89, 68",8.75,7.88,5.59,5.44,8.78,6.13753,"mewtwo, mew, articuno, lapras, muk, machamp"
"151, 144, 113, 121, 143, 89",8.75,7.88,6,4.85,8.51,6.136656,"mew, articuno, chansey, starmie, snorlax, muk"
"151, 145, 113, 121, 143, 89",8.75,7.88,6,4.85,8.51,6.136656,"mew, zapdos, chansey, starmie, snorlax, muk"
"150, 151, 131, 149, 89, 76",8.75,9.83,5.32,5.53,8.88,6.136475,"mewtwo, mew, lapras, dragonite, muk, golem"
"151, 6, 134, 121, 143, 89",8.75,7.88,5.64,5.44,8.51,6.135788,"mew, charizard, vaporeon, starmie, snorlax, muk"
"150, 144, 134, 121, 143, 89",8.75,7.88,5.89,5.03,8.51,6.13461,"mewtwo, articuno, vaporeon, starmie, snorlax, muk"
"150, 145, 134, 121, 143, 89",8.75,7.88,5.89,5.03,8.51,6.13461,"mewtwo, zapdos, vaporeon, starmie, snorlax, muk"
"150, 151, 146, 131, 89, 68",8.75,9.12,5.46,5.44,8.78,6.133665,"mewtwo, mew, moltres, lapras, muk, machamp"
"150, 151, 145, 131, 73, 89",8.75,7.06,5.36,5.94,8.78,6.130344,"mewtwo, mew, zapdos, lapras, tentacruel, muk"
"150, 151, 144, 62, 89, 76",8.75,9.83,5.4,5.44,8.68,6.129233,"mewtwo, mew, articuno, poliwrath, muk, golem"
"150, 151, 145, 62, 89, 76",8.75,9.83,5.4,5.44,8.68,6.129233,"mewtwo, mew, zapdos, poliwrath, muk, golem"
"150, 151, 121, 143, 89, 68",8.75,6.93,6.32,4.44,8.51,6.127705,"mewtwo, mew, starmie, snorlax, muk, machamp"
"150, 151, 144, 113, 143, 89",8.75,6.21,6.09,4.85,8.79,6.127616,"mewtwo, mew, articuno, chansey, snorlax, muk"
"150, 151, 145, 113, 143, 89",8.75,6.21,6.09,4.85,8.79,6.127616,"mewtwo, mew, zapdos, chansey, snorlax, muk"
"150, 144, 145, 9, 89, 76",8.75,9.83,4.67,6.62,8.78,6.125235,"mewtwo, articuno, zapdos, blastoise, muk, golem"
"150, 151, 145, 131, 89, 76",8.75,9.83,5.37,5.44,8.78,6.125129,"mewtwo, mew, zapdos, lapras, muk, golem"
"150, 144, 145, 121, 143, 89",8.75,8.72,5.17,5.94,8.79,6.118963,"mewtwo, articuno, zapdos, starmie, snorlax, muk"
"150, 145, 131, 6, 113, 89",8.75,9.83,4.7,6.62,8.56,6.118862,"mewtwo, zapdos, lapras, charizard, chansey, muk"
"150, 151, 6, 103, 143, 89",8.75,7.88,5.59,5.44,8.57,6.117799,"mewtwo, mew, charizard, exeggutor, snorlax, muk"
"150, 145, 6, 113, 89, 91",8.75,9.83,4.7,6.62,8.55,6.11751,"mewtwo, zapdos, charizard, chansey, muk, cloyster"
"150, 144, 134, 59, 89, 76",8.75,10,5.21,5.71,8.61,6.116413,"mewtwo, articuno, vaporeon, arcanine, muk, golem"
"150, 145, 134, 59, 89, 76",8.75,10,5.21,5.71,8.61,6.116413,"mewtwo, zapdos, vaporeon, arcanine, muk, golem"
"150, 151, 131, 121, 89, 68",8.75,6,6.03,5.03,8.5,6.113394,"mewtwo, mew, lapras, starmie, muk, machamp"
"150, 151, 131, 6, 89, 68",8.75,9.12,5.46,5.44,8.56,6.111583,"mewtwo, mew, lapras, charizard, muk, machamp"
"150, 144, 103, 121, 143, 89",8.75,8.72,5.75,5.03,8.54,6.109779,"mewtwo, articuno, exeggutor, starmie, snorlax, muk"
"150, 145, 103, 121, 143, 89",8.75,8.72,5.75,5.03,8.54,6.109779,"mewtwo, zapdos, exeggutor, starmie, snorlax, muk"
"151, 6, 103, 121, 143, 89",8.75,8.72,5.5,5.44,8.54,6.10905,"mew, charizard, exeggutor, starmie, snorlax, muk"
"150, 144, 145, 113, 143, 89",8.75,7.25,5.24,6.03,8.79,6.106741,"mewtwo, articuno, zapdos, chansey, snorlax, muk"
"151, 146, 113, 103, 121, 89",8.75,8.72,5.5,5.44,8.49,6.103642,"mew, moltres, chansey, exeggutor, starmie, muk"
"151, 6, 113, 103, 121, 89",8.75,8.72,5.5,5.44,8.49,6.103642,"mew, charizard, chansey, exeggutor, starmie, muk"
"150, 151, 103, 59, 149, 89",8.75,7.88,5.48,5.44,8.99,6.10206,"mewtwo, mew, exeggutor, arcanine, dragonite, muk"
"150, 144, 73, 59, 89, 76",8.75,10,4.89,6.21,8.58,6.100441,"mewtwo, articuno, tentacruel, arcanine, muk, golem"
"150, 145, 73, 59, 89, 76",8.75,10,4.89,6.21,8.58,6.100441,"mewtwo, zapdos, tentacruel, arcanine, muk, golem"
"150, 145, 73, 59, 89, 91",8.75,8.72,5,6.21,8.64,6.099384,"mewtwo, zapdos, tentacruel, arcanine, muk, cloyster"
"150, 151, 103, 143, 149, 89",8.75,7.88,5.79,4.94,8.89,6.098942,"mewtwo, mew, exeggutor, snorlax, dragonite, muk"
"150, 144, 121, 143, 62, 89",8.75,8.72,5.73,5.03,8.51,6.097344,"mewtwo, articuno, starmie, snorlax, poliwrath, muk"
"150, 145, 121, 143, 62, 89",8.75,8.72,5.73,5.03,8.51,6.097344,"mewtwo, zapdos, starmie, snorlax, poliwrath, muk"
"151, 6, 121, 143, 89, 34",8.75,8.72,5.18,5.94,8.51,6.096949,"mew, charizard, starmie, snorlax, muk, nidoking"
"151, 6, 121, 143, 62, 89",8.75,8.72,5.48,5.44,8.51,6.096373,"mew, charizard, starmie, snorlax, poliwrath, muk"
"150, 146, 121, 143, 89, 68",8.75,9.75,5.62,5.03,8.51,6.09607,"mewtwo, moltres, starmie, snorlax, muk, machamp"
"151, 6, 121, 143, 89, 80",8.75,7.06,5.64,5.44,8.51,6.094815,"mew, charizard, starmie, snorlax, muk, slowbro"
"150, 144, 121, 143, 89, 80",8.75,7.06,5.89,5.03,8.51,6.093638,"mewtwo, articuno, starmie, snorlax, muk, slowbro"
"150, 145, 121, 143, 89, 80",8.75,7.06,5.89,5.03,8.51,6.093638,"mewtwo, zapdos, starmie, snorlax, muk, slowbro"
"151, 131, 134, 121, 149, 89",8.75,7.06,5.59,5.53,8.5,6.091458,"mew, lapras, vaporeon, starmie, dragonite, muk"
"150, 144, 121, 59, 89, 76",8.75,10,5.21,5.62,8.61,6.090618,"mewtwo, articuno, starmie, arcanine, muk, golem"
"150, 145, 121, 59, 89, 76",8.75,10,5.21,5.62,8.61,6.090618,"mewtwo, zapdos, starmie, arcanine, muk, golem"
"151, 9, 121, 143, 149, 89",8.75,7.88,5.84,4.94,8.55,6.089147,"mew, blastoise, starmie, snorlax, dragonite, muk"
"151, 145, 131, 134, 121, 89",8.75,7.06,5.63,5.44,8.5,6.088917,"mew, zapdos, lapras, vaporeon, starmie, muk"
"150, 145, 131, 121, 143, 89",8.75,8.72,5.7,5.03,8.55,6.087427,"mewtwo, zapdos, lapras, starmie, snorlax, muk"
